"opportunity_id","opportunity_name","institution_name","program_type","country","region","nationality_eligibility","target_career_stage","target_demographics","field_of_study","minimum_education","age_restrictions","gender_focus","language_requirements","citizenship_required","work_experience_required","currency_code","funding_amount_min","funding_amount_max","funding_amount_typical","funding_covers","duration_months","renewable","payment_schedule","application_deadline","deadline_frequency","next_deadline","start_date","is_cohort_based","cohort_size","application_opens","notification_date","application_method","requires_proposal","requires_letters","requires_transcripts","requires_cv","requires_interview","nomination_required","requires_host","application_fee","selection_criteria","includes_mentorship","includes_networking","includes_training","includes_travel","career_support","alumni_network","equipment_access","official_website","application_url","additional_info_url","last_verified_date","special_features","notes","african_countries_eligible","citizenship_requirements","residency_requirements","age_limit","academic_level","career_stage","minimum_gpa","work_experience_minimum","award_amount_min","award_amount_max","award_currency","funding_duration_months","funding_type","tuition_coverage","stipend_amount","health_insurance_included","travel_allowance_included","research_budget_included","number_of_awards","program_start_date","application_process","required_documents","interview_required","acceptance_rate","mentorship_included","networking_opportunities","professional_development","cohort_based","mobility_requirements","teaching_requirements","research_requirements","publication_requirements","extension_possible","application_portal","contact_email","contact_phone","data_source"
"BATCH1_001","Gates Cambridge Scholarship","University of Cambridge","Scholarship","United Kingdom","Europe","Open to all (non-UK citizens)","PhD | Master's","All","All Fields","Bachelor's","","All","English","No","","GBP","","","28000.0","Tuition + Stipend + Travel","36","No","Monthly","2026-12-05","Annual","2026-12-05","2027-10-01","Yes","80","2026-09-01","2027-03-01","Online portal","Yes","2","Yes","Yes","Yes","No","No","","Academic merit | Leadership | Community commitment","Yes","Yes","Yes","Yes","Yes","Yes","Library access | Computing resources","https://www.gatescambridge.org/","https://www.gatescambridge.org/apply","https://www.gatescambridge.org/apply/how-to-apply/","2026-02-13","Prestigious scholarship covering full costs; Strong focus on leadership and social impact; Discretionary funding for conferences and fieldwork","One of the most competitive international scholarships; Covers tuition full living costs and airfare; US deadline October 2026 non-US deadline December 2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_002","Rhodes Scholarship","University of Oxford","Scholarship","United Kingdom","Europe","Open to all (selected countries)","Postgraduate","All","All Fields","Bachelor's","","All","English","Yes","","GBP","","","20400.0","Tuition + Stipend","24-36","No","Monthly","2025-08-31","Annual","2025-08-31","2026-10-01","Yes","100","2025-06-01","2026-01-15","Online portal | Through nominating institution","No","3","Yes","Yes","Yes","Yes","No","","Academic merit | Character | Leadership | Service","Yes","Yes","Yes","Yes","Yes","Yes","Lab access | Library access","https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/","https://www.rhodeshouse.ox.ac.uk/","https://www.rhodeshouse.ox.ac.uk/files/conditions-of-tenure/","2026-02-13","World's oldest international scholarship; Character Service and Leadership Programme; Global lifelong community of scholars and alumni","Merit-based scholarship for 2+ years of study at Oxford; Covers fees stipend visa and flights; Global Rhodes Scholarship deadline July 31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_003","Chevening Scholarship","UK Foreign Commonwealth & Development Office","Scholarship","United Kingdom","Europe","Open to all (Chevening-eligible countries)","Master's","All","All Fields","Bachelor's","","All","English","Yes","2 years work experience","GBP","","","18000.0","Tuition + Stipend + Travel","12","No","Monthly","2025-11-05","Annual","2025-11-05","2026-09-01","Yes","1500","2025-09-01","2026-06-01","Online portal","No","2","Yes","Yes","Yes","No","No","","Academic merit | Leadership potential | Networking skills","No","Yes","Yes","Yes","Yes","Yes","Not specified","https://www.chevening.org/scholarships/","https://www.chevening.org/apply/","https://www.chevening.org/resource-hub/guidance/eligibility/","2026-02-13","One-year master's scholarships; Focus on emerging leaders; Extensive networking opportunities in UK; Must return to home country for 2 years","Fully-funded including flights accommodation and course fees; 1500+ scholars annually from over 160 countries; Strong alumni network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_004","Commonwealth Master's Scholarships","Commonwealth Scholarship Commission","Scholarship","United Kingdom","Europe","Regional: Commonwealth low and middle income countries","Master's","All","STEM | Social Sciences | Health Sciences | Specific: development themes","Bachelor's","","All","English","Yes","","GBP","","","17424.0","Tuition + Stipend + Travel","12","No","Monthly","2025-10-14","Annual","2025-10-14","2026-09-01","Yes","Not specified","2025-09-02","2026-07-01","Online portal | Through nominating agency","No","2","Yes","Yes","No","Yes","No","","Academic merit | Development impact | Quality of proposal","No","No","No","Yes","No","No","Not specified","https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/","https://cscuk.fcdo.gov.uk/apply/","https://cscuk.fcdo.gov.uk/advice-for-applicants/","2026-02-13","Funded by UK government for development objectives; Must align with 6 CSC development themes; Scholars commit to returning home","Applications through national nominating agencies or selected NGOs; Aimed at those who cannot afford UK study; Strong focus on development impact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_005","FLAIR Fellowship","African Academy of Sciences & Royal Society","Fellowship","Multiple","Africa","African nationals only (Sub-Saharan Africa)","Early Career","Early Career Researchers","STEM | Health Sciences","PhD","","All","English","Yes","","GBP","","","25000.0","Stipend + Research costs","24","No","Monthly","2025-10-15","Annual","2025-10-15","2026-09-01","Yes","20","2025-08-01","2026-01-15","Online portal","Yes","3","Yes","Yes","Yes","No","Yes","","Academic merit | Research potential | African institutional affiliation","Yes","Yes","Yes","Yes","Yes","Yes","Lab access | Research facilities","https://aasciences.africa/programmes/FLAIR","https://royalsociety.org/grants/flair/","https://aasciences.africa/fellows-nominations","2026-02-13","Future Leaders – African Independent Research; Build independent research career at Sub-Saharan African institution; Partnership with Royal Society and GCRF","For talented early career researchers with potential to become field leaders; Host institution must be in Sub-Saharan Africa; Focus on cutting-edge research addressing global challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_006","AWARD Leadership Program","African Women in Agricultural Research and Development","Fellowship","Multiple","Africa","African nationals only: Benin Burkina Faso Côte d'Ivoire Ethiopia Ghana Kenya Malawi Nigeria Senegal Tanzania Zambia","Early Career","Women","Specific: Agricultural Sciences","Bachelor's","Max age: 35","Women","English","Yes","","USD","","","15000.0","Training + Networking + Mentorship","9","No","Not specified","2025-10-15","Annual","2025-10-15","2026-01-15","Yes","40","2025-09-09","2025-12-01","Online portal","No","Optional","Yes","Yes","No","No","No","","Leadership potential | Career commitment | Gender integration awareness","Yes","Yes","Yes","No","Yes","Yes","Not specified","https://awardfellowships.org/","https://awardfellowships.org/emergingwomeninscience","https://awardfellowships.org/news/","2026-02-13","Intensive 9-month non-residential program for African women under 35 in agricultural sciences; Focus on leadership communication and career development; Certificate upon completion","Funded by Carnegie Corporation of New York; Equips participants to overcome institutionalized barriers; Builds pool of capable confident influential young women scientists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_007","AIMS AI in Science Postdoctoral Fellowship","African Institute for Mathematical Sciences South Africa","Fellowship","South Africa","Africa","Open to all","Postdoc","All","Specific: AI in Science | STEM","PhD","","All","English","No","","ZAR","","","550000.0","Stipend + Research support","12","No","Monthly","2027-03-31","Annual","2027-03-31","2027-09-01","No","Not specified","2026-12-01","2027-05-01","Email","Yes","2","Yes","Yes","No","No","No","","Academic merit | Research potential | AI in Science focus","Yes","Yes","Yes","No","Yes","No","Lab access | Computing resources","https://aims.ac.za/research-opportunities/","mailto:vacancies@aims.ac.za","https://aims.ac.za/wp-content/uploads/sites/5/2025/06/AI-in-Science-Postdoctoral-Fellowship.pdf","2026-02-13","Linked to 1-year Eric and Wendy Schmidt AI in Science Fellowship at Imperial College London; Two back-to-back fellowships UK then South Africa; Focus on using AI to advance and disrupt science","Candidates must apply for both Imperial College and AIMS fellowships; Unique platform for innovation between UK and South Africa; AI training offered; Not suitable for generic AI research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_008","TWAS Fellowships for Research and Advanced Training","The World Academy of Sciences","Fellowship","Multiple","Global","Developing countries nationals","Master's | PhD | Postdoc","All","Natural Sciences","Master's","","All","English | French | Spanish | Portuguese","No","","USD","","","300.0","Travel + Monthly allowance contribution","3-12","No","Monthly","2025-10-06","Annual","2025-10-06","Flexible","No","Not specified","2025-08-01","2025-12-15","Online portal","Yes","2","Yes","Yes","No","No","Yes","","Academic merit | Research potential | Scientific collaboration","Yes","Yes","Yes","Yes","No","No","Research facilities","https://twas.org/opportunity/twas-fellowships-research-and-advanced-training","https://twas.org/apply","https://twas.org/opportunities","2026-02-13","South-South fellowships for developing country scientists to visit institutions in other developing countries; 3-12 month duration; Enhance research capacity of promising young scientists","TWAS covers international airfare plus USD 300/month contribution; Host institution provides accommodation food and research facilities; Preference given to early career researchers and LDCs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_009","Knight-Hennessy Scholars","Stanford University","Scholarship","United States","North America","Open to all","PhD | Master's | MBA | JD | MD","All","All Fields","Bachelor's","","All","English","No","","USD","","","100000.0","Tuition + Stipend + Travel","36","No","Monthly","2025-10-08","Annual","2025-10-08","2026-09-01","Yes","100","2025-07-01","2026-03-01","Online portal","Yes","2","Yes","Yes","Yes","No","No","","Academic merit | Leadership potential | Civic commitment","Yes","Yes","Yes","Yes","Yes","Yes","Library access | Computing resources","https://knight-hennessy.stanford.edu/","https://apply.knight-hennessy.stanford.edu/apply/","https://knight-hennessy.stanford.edu/admission/","2026-02-13","Prestigious scholarship for graduate study at Stanford; Up to 3 years of funding for any Stanford graduate program; Focus on developing leaders who will address complex challenges","No restrictions by age college field or career; Covers full tuition plus stipend and travel; Must have earned bachelor's degree in January 2019 or later; 100 scholars per cohort","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BATCH1_010","Fulbright Foreign Student Program","US Department of State Bureau of Educational and Cultural Affairs","Scholarship","United States","North America","Open to all (country-specific)","Master's | PhD","All","All Fields","Bachelor's","","All","English","No","","USD","","","40000.0","Tuition + Stipend + Health insurance + Travel","12-24","No","Monthly","Varies by country","Annual","See country page","Flexible","Yes","Not specified","Varies by country","Varies by country","Through Fulbright Commission in home country","Yes","3","Yes","Yes","Yes","No","No","","Academic merit | Leadership potential | Cultural exchange commitment","Yes","Yes","Yes","Yes","Yes","Yes","Library access","https://foreign.fulbrightonline.org/","https://foreign.fulbrightonline.org/countries","https://foreign.fulbrightonline.org/about/","2026-02-13","Premier international educational exchange program; Approximately 4000 students annually; Available in 160+ countries; Strong focus on mutual understanding and cultural exchange","Funding varies by country and program; Must apply through Fulbright Commission or US Embassy in home country; Covers tuition living costs health insurance and travel; Extensive pre-departure and in-country support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
